Geographic Area,2017,2018,2019
"Onslow County, North Carolina",195066,196915,197938
"Orange County, North Carolina",143626,147980,148476
"Pamlico County, North Carolina",12638,12633,12726
"Pasquotank County, North Carolina",39386,39583,39824
"Pender County, North Carolina",60719,62017,63060
"Perquimans County, North Carolina",13439,13381,13463
"Person County, North Carolina",39338,39436,39490
"Pitt County, North Carolina",178607,179575,180742
"Polk County, North Carolina",20564,20668,20724
"Randolph County, North Carolina",143037,143249,143667
"Richmond County, North Carolina",44827,44888,44829
"Robeson County, North Carolina",132626,131884,130625
"Rockingham County, North Carolina",90791,90617,91010
"Rowan County, North Carolina",140356,141128,142088
"Rutherford County, North Carolina",66529,66775,67029
"Sampson County, North Carolina",63263,63345,63531
"Scotland County, North Carolina",35174,34751,34823
"Stanly County, North Carolina",61505,62180,62806
"Stokes County, North Carolina",45724,45511,45591
"Surry County, North Carolina",72107,71959,71783
"Swain County, North Carolina",14263,14249,14271
"Transylvania County, North Carolina",33767,34173,34385
"Tyrrell County, North Carolina",4180,4115,4016
"Union County, North Carolina",231350,235830,239859
"Vance County, North Carolina",44281,44635,44535
"Wake County, North Carolina",1071706,1091273,1111761
"Warren County, North Carolina",19849,19819,19731
"Washington County, North Carolina",11944,11769,11580
"Watauga County, North Carolina",55181,56034,56177
"Wayne County, North Carolina",123034,123237,123131
"Wilkes County, North Carolina",68489,68563,68412
"Wilson County, North Carolina",81436,81392,81801
"Yadkin County, North Carolina",37588,37481,37667
"Yancey County, North Carolina",17697,17873,18069
"Adams County, North Dakota",2324,2276,2216
"Barnes County, North Dakota",10679,10527,10415
"Benson County, North Dakota",6916,6958,6832
"Billings County, North Dakota",922,918,928
"Bottineau County, North Dakota",6522,6398,6282
"Bowman County, North Dakota",3150,3067,3024
"Burke County, North Dakota",2128,2094,2115
"Burleigh County, North Dakota",95247,95276,95626
"Cass County, North Dakota",177745,180294,181923
"Cavalier County, North Dakota",3793,3811,3762
"Dickey County, North Dakota",4848,4931,4872
"Divide County, North Dakota",2295,2264,2264
"Dunn County, North Dakota",4274,4328,4424
"Eddy County, North Dakota",2315,2309,2287
"Emmons County, North Dakota",3298,3278,3241
"Foster County, North Dakota",3249,3207,3210
"Golden Valley County, North Dakota",1779,1763,1761
"Grand Forks County, North Dakota",70489,70355,69451
"Grant County, North Dakota",2363,2354,2274
"Griggs County, North Dakota",2244,2228,2231
"Hettinger County, North Dakota",2479,2503,2499
"Kidder County, North Dakota",2471,2453,2480
"LaMoure County, North Dakota",4101,4075,4046
"Logan County, North Dakota",1919,1887,1850
"McHenry County, North Dakota",5890,5808,5745
"McIntosh County, North Dakota",2608,2566,2497
"McKenzie County, North Dakota",12688,13594,15024
"McLean County, North Dakota",9636,9529,9450
"Mercer County, North Dakota",8457,8266,8187
"Morton County, North Dakota",30938,31058,31364
"Mountrail County, North Dakota",10276,10239,10545
"Nelson County, North Dakota",2902,2885,2879
"Oliver County, North Dakota",1930,1945,1959
"Pembina County, North Dakota",6962,6895,6801
"Pierce County, North Dakota",4096,4070,3975
"Ramsey County, North Dakota",11596,11580,11519
"Ransom County, North Dakota",5303,5224,5218
"Renville County, North Dakota",2455,2358,2327
"Richland County, North Dakota",16287,16229,16177
"Rolette County, North Dakota",14614,14349,14176
"Sargent County, North Dakota",3862,3851,3898
"Sheridan County, North Dakota",1351,1342,1315
"Sioux County, North Dakota",4425,4377,4230
"Slope County, North Dakota",767,761,750
"Stark County, North Dakota",30291,30893,31489
"Steele County, North Dakota",1906,1892,1890
"Stutsman County, North Dakota",21132,20875,20704
"Towner County, North Dakota",2244,2185,2189
"Traill County, North Dakota",7998,8020,8036
"Walsh County, North Dakota",10801,10645,10641
"Ward County, North Dakota",68516,67713,67641
"Wells County, North Dakota",3994,3908,3834
"Williams County, North Dakota",33467,35469,37589
"Adams County, Ohio",27753,27694,27698
"Allen County, Ohio",103093,102725,102351
"Ashland County, Ohio",53662,53706,53484
"Ashtabula County, Ohio",97748,97587,97241
"Athens County, Ohio",66503,65519,65327
"Auglaize County, Ohio",45753,45736,45656
"Belmont County, Ohio",68002,67533,67006
"Brown County, Ohio",43523,43570,43432
"Butler County, Ohio",380607,382000,383134
"Carroll County, Ohio",27324,27082,26914
"Champaign County, Ohio",38851,38785,38885
"Clark County, Ohio",134549,134528,134083
"Clermont County, Ohio",204260,205526,206428
"Clinton County, Ohio",42004,42085,41968
"Columbiana County, Ohio",103062,102473,101883
"Coshocton County, Ohio",36536,36596,36600
"Crawford County, Ohio",41710,41484,41494
"Cuyahoga County, Ohio",1247581,1241718,1235072
"Darke County, Ohio",51549,51299,51113
"Defiance County, Ohio",38156,38089,38087
"Delaware County, Ohio",200870,205091,209177
"Erie County, Ohio",74760,74513,74266
"Fairfield County, Ohio",154686,155982,157574
"Fayette County, Ohio",28639,28653,28525
"Franklin County, Ohio",1295510,1307698,1316756
"Fulton County, Ohio",42265,42267,42126
"Gallia County, Ohio",30162,29945,29898
"Geauga County, Ohio",93881,93945,93649
"Greene County, Ohio",166566,167446,168937
"Guernsey County, Ohio",39066,39011,38875
"Hamilton County, Ohio",814170,815445,817473
"Hancock County, Ohio",75973,75920,75783
"Hardin County, Ohio",31329,31418,31365
"Harrison County, Ohio",15202,15167,15040
"Henry County, Ohio",27179,27091,27006
"Highland County, Ohio",42903,43052,43161
"Hocking County, Ohio",28436,28357,28264
"Holmes County, Ohio",43895,43919,43960
"Huron County, Ohio",58393,58364,58266
"Jackson County, Ohio",32386,32366,32413
"Jefferson County, Ohio",66318,65774,65325
"Knox County, Ohio",61271,61900,62322
"Lake County, Ohio",230159,230102,230149
"Lawrence County, Ohio",60075,59767,59463
"Licking County, Ohio",173617,175666,176862
"Logan County, Ohio",45198,45332,45672
"Lorain County, Ohio",307441,309052,309833
"Lucas County, Ohio",431039,429612,428348
"Madison County, Ohio",44041,44389,44731
"Mahoning County, Ohio",229791,229216,228683
"Marion County, Ohio",65076,65427,65093
"Medina County, Ohio",178176,178978,179746
"Meigs County, Ohio",23071,23064,22907
"Mercer County, Ohio",40858,40952,41172
"Miami County, Ohio",105200,106042,106987
"Monroe County, Ohio",13931,13787,13654
"Montgomery County, Ohio",531467,531600,531687
"Morgan County, Ohio",14644,14581,14508
"Morrow County, Ohio",34911,35113,35328
"Muskingum County, Ohio",86123,86131,86215
"Noble County, Ohio",14400,14347,14424
"Ottawa County, Ohio",40623,40769,40525
"Paulding County, Ohio",18831,18742,18672
"Perry County, Ohio",35972,36039,36134
"Pickaway County, Ohio",57740,58077,58457
"Pike County, Ohio",28088,27932,27772
"Portage County, Ohio",162473,162502,162466
"Preble County, Ohio",41116,41011,40882
"Putnam County, Ohio",33860,33802,33861
"Richland County, Ohio",120430,120987,121154
"Ross County, Ohio",77295,76884,76666
"Sandusky County, Ohio",59093,58740,58518
"Scioto County, Ohio",75976,75480,75314
"Seneca County, Ohio",55267,55194,55178
"Shelby County, Ohio",48738,48622,48590
"Stark County, Ohio",372003,371248,370606
"Summit County, Ohio",541514,541353,541013
"Trumbull County, Ohio",200281,198539,197974
"Tuscarawas County, Ohio",92308,92079,91987
"Union County, Ohio",56798,57782,58988
"Van Wert County, Ohio",28283,28253,28275
"Vinton County, Ohio",13082,13145,13085
"Warren County, Ohio",228709,231945,234602
"Washington County, Ohio",60491,60111,59911
"Wayne County, Ohio",116168,115790,115710
"Williams County, Ohio",36707,36739,36692
"Wood County, Ohio",130437,130441,130817
"Wyandot County, Ohio",22063,21918,21772
"Adair County, Oklahoma",22119,22224,22194
"Alfalfa County, Oklahoma",5913,5765,5702
"Atoka County, Oklahoma",13779,13795,13758
"Beaver County, Oklahoma",5364,5318,5311
"Beckham County, Oklahoma",21779,21720,21859
"Blaine County, Oklahoma",9512,9454,9429
"Bryan County, Oklahoma",46481,47191,47995
"Caddo County, Oklahoma",29356,29028,28762
"Canadian County, Oklahoma",140001,144426,148306
"Carter County, Oklahoma",48273,48213,48111
"Cherokee County, Oklahoma",48891,48607,48657
"Choctaw County, Oklahoma",14804,14698,14672
"Cimarron County, Oklahoma",2152,2165,2137
"Cleveland County, Oklahoma",279542,281166,284014
"Coal County, Oklahoma",5630,5520,5495
"Comanche County, Oklahoma",121786,120528,120749
"Cotton County, Oklahoma",5863,5820,5666
"Craig County, Oklahoma",14332,14300,14142
"Creek County, Oklahoma",71890,71730,71522
"Custer County, Oklahoma",28974,28995,29003
"Delaware County, Oklahoma",42672,42814,43009
"Dewey County, Oklahoma",4899,4931,4891
"Ellis County, Oklahoma",3970,3939,3859
"Garfield County, Oklahoma",61600,61095,61056
"Garvin County, Oklahoma",27857,27746,27711
"Grady County, Oklahoma",54829,55448,55834
"Grant County, Oklahoma",4379,4321,4333
"Greer County, Oklahoma",5793,5814,5712
"Harmon County, Oklahoma",2710,2691,2653
"Harper County, Oklahoma",3784,3727,3688
"Haskell County, Oklahoma",12726,12636,12627
"Hughes County, Oklahoma",13265,13305,13279
"Jackson County, Oklahoma",25112,24775,24530
"Jefferson County, Oklahoma",6164,6106,6002
"Johnston County, Oklahoma",11121,11020,11085
"Kay County, Oklahoma",44403,43944,43538
"Kingfisher County, Oklahoma",15688,15814,15765
"Kiowa County, Oklahoma",8849,8732,8708
"Latimer County, Oklahoma",10318,10175,10073
"Le Flore County, Oklahoma",50020,50093,49853
"Lincoln County, Oklahoma",34961,34837,34877
"Logan County, Oklahoma",46785,47248,48011
"Love County, Oklahoma",10076,10156,10253
"McClain County, Oklahoma",39306,39887,40474
"McCurtain County, Oklahoma",33031,32967,32832
"McIntosh County, Oklahoma",19701,19745,19596
"Major County, Oklahoma",7684,7627,7629
"Marshall County, Oklahoma",16364,16727,16931
"Mayes County, Oklahoma",40988,41210,41100
"Murray County, Oklahoma",13918,13968,14073
"Muskogee County, Oklahoma",69027,68324,67997
"Noble County, Oklahoma",11303,11279,11131
"Nowata County, Oklahoma",10322,10278,10076
"Okfuskee County, Oklahoma",12076,12081,11993
"Oklahoma County, Oklahoma",786068,790593,797434
"Okmulgee County, Oklahoma",38819,38321,38465
"Osage County, Oklahoma",47346,47121,46963
"Ottawa County, Oklahoma",31368,31319,31127
"Pawnee County, Oklahoma",16419,16356,16376
"Payne County, Oklahoma",81908,82172,81784
"Pittsburg County, Oklahoma",44154,43870,43654
"Pontotoc County, Oklahoma",38371,38272,38284
"Pottawatomie County, Oklahoma",72185,72513,72592
"Pushmataha County, Oklahoma",11118,11192,11096
"Roger Mills County, Oklahoma",3661,3646,3583
"Rogers County, Oklahoma",91435,91801,92459
"Seminole County, Oklahoma",24845,24520,24258
"Sequoyah County, Oklahoma",41742,41585,41569
"Stephens County, Oklahoma",43340,43179,43143
"Texas County, Oklahoma",20924,20491,19983
"Tillman County, Oklahoma",7399,7323,7250
"Tulsa County, Oklahoma",646437,647683,651552
"Wagoner County, Oklahoma",78984,80123,81289
"Washington County, Oklahoma",51996,51791,51527
"Washita County, Oklahoma",11055,11036,10916
"Woods County, Oklahoma",9069,8893,8793
"Woodward County, Oklahoma",20531,20312,20211
"Baker County, Oregon",16083,16034,16124
"Benton County, Oregon",91790,92442,93053
"Clackamas County, Oregon",412442,415416,418187
"Clatsop County, Oregon",39101,39711,40224
"Columbia County, Oregon",51724,52245,52354
"Coos County, Oregon",63708,64272,64487
"Crook County, Oregon",23065,23825,24404
"Curry County, Oregon",22630,22795,22925
"Deschutes County, Oregon",186744,191905,197692
"Douglas County, Oregon",109197,110114,110980
"Gilliam County, Oregon",1862,1893,1912
"Grant County, Oregon",7188,7185,7199
"Harney County, Oregon",7258,7292,7393
"Hood River County, Oregon",23398,23267,23382
"Jackson County, Oregon",216746,219411,220944
"Jefferson County, Oregon",23652,24150,24658
"Josephine County, Oregon",86584,87150,87487
"Klamath County, Oregon",66810,67687,68238
"Lake County, Oregon",7874,7835,7869
"Lane County, Oregon",375264,378549,382067
"Lincoln County, Oregon",48757,49224,49962
"Linn County, Oregon",125035,127451,129749
"Malheur County, Oregon",30385,30553,30571
"Marion County, Oregon",340531,345412,347818
"Morrow County, Oregon",11198,11360,11603
"Multnomah County, Oregon",807885,809072,812855
"Polk County, Oregon",83711,84992,86085
"Sherman County, Oregon",1735,1700,1780
"Tillamook County, Oregon",26522,26710,27036
"Umatilla County, Oregon",77120,77421,77950
"Union County, Oregon",26383,26701,26835
"Wallowa County, Oregon",7025,7058,7208
"Wasco County, Oregon",26296,26432,26682
"Washington County, Oregon",591336,596904,601592
"Wheeler County, Oregon",1348,1351,1332
"Yamhill County, Oregon",105238,106367,107100
"Adams County, Pennsylvania",102562,103062,103009
"Allegheny County, Pennsylvania",1220141,1217281,1216045
"Armstrong County, Pennsylvania",65991,65352,64735
"Beaver County, Pennsylvania",165654,164582,163929
"Bedford County, Pennsylvania",48356,48094,47888
"Berks County, Pennsylvania",417511,420529,421164
"Blair County, Pennsylvania",123147,122503,121829
"Bradford County, Pennsylvania",60963,60794,60323
"Bucks County, Pennsylvania",626811,627812,628270
"Butler County, Pennsylvania",186828,187638,187853
"Cambria County, Pennsylvania",132960,131449,130192
"Cameron County, Pennsylvania",4619,4501,4447
"Carbon County, Pennsylvania",63828,64175,64182
"Centre County, Pennsylvania",162316,162601,162385
"Chester County, Pennsylvania",518901,522086,524989
"Clarion County, Pennsylvania",38998,38672,38438
"Clearfield County, Pennsylvania",79799,79572,79255
"Clinton County, Pennsylvania",38830,38696,38632
"Columbia County, Pennsylvania",65581,65215,64964
"Crawford County, Pennsylvania",85772,85110,84629
"Cumberland County, Pennsylvania",249024,251131,253370
"Dauphin County, Pennsylvania",275714,276864,278299
"Delaware County, Pennsylvania",563858,565231,566747
"Elk County, Pennsylvania",30271,30110,29910
"Erie County, Pennsylvania",273558,271544,269728
"Fayette County, Pennsylvania",131309,130323,129274
"Forest County, Pennsylvania",7317,7284,7247
"Franklin County, Pennsylvania",154376,154579,155027
"Fulton County, Pennsylvania",14469,14525,14530
"Greene County, Pennsylvania",36846,36661,36233
"Huntingdon County, Pennsylvania",45429,45395,45144
"Indiana County, Pennsylvania",84743,84441,84073
"Jefferson County, Pennsylvania",43818,43614,43425
"Juniata County, Pennsylvania",24635,24718,24763
"Lackawanna County, Pennsylvania",210451,210269,209674
"Lancaster County, Pennsylvania",541332,543969,545724
"Lawrence County, Pennsylvania",86546,86128,85512
"Lebanon County, Pennsylvania",139553,141339,141793
"Lehigh County, Pennsylvania",365577,368359,369318
"Luzerne County, Pennsylvania",317808,317859,317417
"Lycoming County, Pennsylvania",114012,113866,113299
"McKean County, Pennsylvania",41362,40950,40625
"Mercer County, Pennsylvania",111473,110471,109424
"Mifflin County, Pennsylvania",46290,46211,46138
"Monroe County, Pennsylvania",167895,169294,170271
"Montgomery County, Pennsylvania",824303,826924,830915
"Montour County, Pennsylvania",18270,18240,18230
"Northampton County, Pennsylvania",302801,304564,305285
"Northumberland County, Pennsylvania",91721,91080,90843
"Perry County, Pennsylvania",46046,46154,46272
"Philadelphia County, Pennsylvania",1580601,1583592,1584064
"Pike County, Pennsylvania",55397,55780,55809
"Potter County, Pennsylvania",16841,16623,16526
"Schuylkill County, Pennsylvania",142580,141815,141359
"Snyder County, Pennsylvania",40594,40518,40372
"Somerset County, Pennsylvania",74242,73872,73447
"Sullivan County, Pennsylvania",6142,6076,6066
"Susquehanna County, Pennsylvania",40934,40560,40328
"Tioga County, Pennsylvania",40671,40690,40591
"Union County, Pennsylvania",44642,45017,44923
"Venango County, Pennsylvania",51790,51201,50668
"Warren County, Pennsylvania",39679,39551,39191
"Washington County, Pennsylvania",207075,207018,206865
"Wayne County, Pennsylvania",51192,51395,51361
"Westmoreland County, Pennsylvania",352006,350459,348899
"Wyoming County, Pennsylvania",27396,27087,26794
"York County, Pennsylvania",445484,447847,449058
"Bristol County, Rhode Island",48734,48637,48479
"Kent County, Rhode Island",163543,164053,164292
"Newport County, Rhode Island",82952,82547,82082
"Providence County, Rhode Island",634130,636953,638931
"Washington County, Rhode Island",126314,126097,125577
"Abbeville County, South Carolina",24567,24587,24527
"Aiken County, South Carolina",168325,169449,170872
"Allendale County, South Carolina",9012,8924,8688
"Anderson County, South Carolina",198186,200292,202558
"Bamberg County, South Carolina",14384,14272,14066
"Barnwell County, South Carolina",21355,21121,20866
"Beaufort County, South Carolina",186497,188876,192122
"Berkeley County, South Carolina",214541,221182,227907
"Calhoun County, South Carolina",14696,14563,14553
"Charleston County, South Carolina",402008,406222,411406
"Cherokee County, South Carolina",56913,57069,57300
"Chester County, South Carolina",32299,32304,32244
"Chesterfield County, South Carolina",45979,45881,45650
"Clarendon County, South Carolina",34012,33742,33745
"Colleton County, South Carolina",37555,37676,37677
"Darlington County, South Carolina",66981,66759,66618
"Dillon County, South Carolina",30496,30612,30479
"Dorchester County, South Carolina",158988,160718,162809
"Edgefield County, South Carolina",26837,27132,27260
"Fairfield County, South Carolina",22593,22376,22347
"Florence County, South Carolina",138495,138277,138293
"Georgetown County, South Carolina",61826,62232,62680
"Greenville County, South Carolina",506831,514621,523542
"Greenwood County, South Carolina",70496,70597,70811
"Hampton County, South Carolina",19498,19348,19222
"Horry County, South Carolina",332655,344105,354081
"Jasper County, South Carolina",28522,29147,30073
"Kershaw County, South Carolina",65213,65802,66551
"Lancaster County, South Carolina",92411,95035,98012
"Laurens County, South Carolina",66822,66890,67493
"Lee County, South Carolina",17388,17294,16828
"Lexington County, South Carolina",290338,294350,298750
"McCormick County, South Carolina",9554,9408,9463
"Marion County, South Carolina",31295,31056,30657
"Marlboro County, South Carolina",26691,26392,26118
"Newberry County, South Carolina",38381,38443,38440
"Oconee County, South Carolina",77388,78307,79546
"Orangeburg County, South Carolina",87671,87013,86175
"Pickens County, South Carolina",123518,125225,126884
"Richland County, South Carolina",411800,414202,415759
"Saluda County, South Carolina",20299,20397,20473
"Spartanburg County, South Carolina",306740,314137,319785
"Sumter County, South Carolina",106431,106409,106721
"Union County, South Carolina",27400,27324,27316
"Williamsburg County, South Carolina",31216,30606,30368
"York County, South Carolina",266165,273782,280979
"Aurora County, South Dakota",2769,2785,2751
"Beadle County, South Dakota",18541,18423,18453
"Bennett County, South Dakota",3446,3473,3365
"Bon Homme County, South Dakota",6952,6910,6901
"Brookings County, South Dakota",34749,35077,35077
"Brown County, South Dakota",39290,39145,38839
"Brule County, South Dakota",5304,5230,5297
"Buffalo County, South Dakota",2013,2027,1962
"Butte County, South Dakota",10114,10253,10429
"Campbell County, South Dakota",1372,1366,1376
"Charles Mix County, South Dakota",9404,9331,9292
"Clark County, South Dakota",3679,3726,3736
"Clay County, South Dakota",14032,13983,14070
"Codington County, South Dakota",28125,28033,28009
"Corson County, South Dakota",4195,4178,4086
"Custer County, South Dakota",8763,8812,8972
"Davison County, South Dakota",19870,19784,19775
"Day County, South Dakota",5494,5507,5424
"Deuel County, South Dakota",4311,4352,4351
"Dewey County, South Dakota",5857,5925,5892
"Douglas County, South Dakota",2927,2926,2921
"Edmunds County, South Dakota",3915,3866,3829
"Fall River County, South Dakota",6698,6740,6713
"Faulk County, South Dakota",2323,2315,2299
"Grant County, South Dakota",7159,7103,7052
"Gregory County, South Dakota",4206,4189,4185
"Haakon County, South Dakota",1921,1902,1899
"Hamlin County, South Dakota",5998,6070,6164
"Hand County, South Dakota",3275,3240,3191
"Hanson County, South Dakota",3409,3364,3453
"Harding County, South Dakota",1244,1252,1298
"Hughes County, South Dakota",17670,17683,17526
"Hutchinson County, South Dakota",7349,7306,7291
"Hyde County, South Dakota",1297,1271,1301
"Jackson County, South Dakota",3269,3278,3344
"Jerauld County, South Dakota",2024,2026,2013
"Jones County, South Dakota",922,928,903
"Kingsbury County, South Dakota",4929,4926,4939
"Lake County, South Dakota",12795,13055,12797
"Lawrence County, South Dakota",25677,25727,25844
"Lincoln County, South Dakota",56681,58795,61128
"Lyman County, South Dakota",3876,3804,3781
"McCook County, South Dakota",5561,5601,5586
"McPherson County, South Dakota",2401,2401,2379
"Marshall County, South Dakota",4945,4921,4935
"Meade County, South Dakota",27941,28204,28332
"Mellette County, South Dakota",2063,2034,2061
"Miner County, South Dakota",2200,2204,2216
"Minnehaha County, South Dakota",189538,190992,193134
"Moody County, South Dakota",6494,6502,6576
"Oglala Lakota County, South Dakota",14384,14331,14177
"Pennington County, South Dakota",110503,111950,113775
"Perkins County, South Dakota",2962,2908,2865
"Potter County, South Dakota",2214,2206,2153
"Roberts County, South Dakota",10265,10376,10394
"Sanborn County, South Dakota",2435,2396,2344
"Spink County, South Dakota",6507,6484,6376
"Stanley County, South Dakota",2986,3017,3098
"Sully County, South Dakota",1398,1377,1391
"Todd County, South Dakota",10277,10245,10177
"Tripp County, South Dakota",5443,5491,5441
"Turner County, South Dakota",8303,8422,8384
"Union County, South Dakota",15277,15570,15932
"Walworth County, South Dakota",5497,5477,5435
"Yankton County, South Dakota",22682,22759,22814
"Ziebach County, South Dakota",2748,2744,2756
"Anderson County, Tennessee",76056,76287,76978
"Bedford County, Tennessee",48211,49146,49713
"Benton County, Tennessee",15993,16246,16160
"Bledsoe County, Tennessee",14895,14883,15064
"Blount County, Tennessee",129999,131331,133088
"Bradley County, Tennessee",105421,107050,108110
"Campbell County, Tennessee",39791,39795,39842
"Cannon County, Tennessee",14157,14440,14678
"Carroll County, Tennessee",27807,27975,27767
"Carter County, Tennessee",56510,56417,56391
"Cheatham County, Tennessee",40366,40502,40667
"Chester County, Tennessee",17154,17245,17297
"Claiborne County, Tennessee",31661,31850,31959
"Clay County, Tennessee",7663,7677,7615
"Cocke County, Tennessee",35528,35858,36004
"Coffee County, Tennessee",55016,55877,56520
"Crockett County, Tennessee",14436,14296,14230
"Cumberland County, Tennessee",59023,59738,60520
"Davidson County, Tennessee",687159,690516,694144
"Decatur County, Tennessee",11732,11699,11663
"DeKalb County, Tennessee",19876,20133,20490
"Dickson County, Tennessee",52774,53446,53948
"Dyer County, Tennessee",37339,37286,37159
"Fayette County, Tennessee",40150,40556,41133
"Fentress County, Tennessee",18214,18322,18523
"Franklin County, Tennessee",41623,41935,42208
"Gibson County, Tennessee",49255,49171,49133
"Giles County, Tennessee",29379,29446,29464
"Grainger County, Tennessee",23106,23137,23320
"Greene County, Tennessee",68821,69164,69069
"Grundy County, Tennessee",13332,13348,13427
"Hamblen County, Tennessee",64062,64629,64934
"Hamilton County, Tennessee",361032,364293,367804
"Hancock County, Tennessee",6593,6561,6620
"Hardeman County, Tennessee",25488,25276,25050
"Hardin County, Tennessee",25738,25693,25652
"Hawkins County, Tennessee",56620,56713,56786
"Haywood County, Tennessee",17607,17347,17304
"Henderson County, Tennessee",27851,27983,28117
"Henry County, Tennessee",32380,32336,32345
"Hickman County, Tennessee",24839,25007,25178
"Houston County, Tennessee",8158,8234,8201
"Humphreys County, Tennessee",18503,18551,18582
"Jackson County, Tennessee",11702,11777,11786
"Jefferson County, Tennessee",53730,54012,54495
"Johnson County, Tennessee",17603,17774,17788
"Knox County, Tennessee",461565,466258,470313
"Lake County, Tennessee",7451,7407,7016
"Lauderdale County, Tennessee",26093,25997,25633
"Lawrence County, Tennessee",43388,43771,44142
"Lewis County, Tennessee",12025,12074,12268
"Lincoln County, Tennessee",33892,34189,34366
"Loudon County, Tennessee",52260,53082,54068
"McMinn County, Tennessee",52931,53336,53794
"McNairy County, Tennessee",26001,25830,25694
"Macon County, Tennessee",23905,24289,24602
"Madison County, Tennessee",97491,97603,97984
"Marion County, Tennessee",28406,28598,28907
"Marshall County, Tennessee",33020,33806,34375
"Maury County, Tennessee",92237,94273,96387
"Meigs County, Tennessee",12042,12297,12422
"Monroe County, Tennessee",46035,46269,46545
"Montgomery County, Tennessee",199771,205312,208993
"Moore County, Tennessee",6391,6457,6488
"Morgan County, Tennessee",21555,21534,21403
"Obion County, Tennessee",30375,30274,30069
"Overton County, Tennessee",21998,22068,22241
"Perry County, Tennessee",7954,8050,8076
"Pickett County, Tennessee",5062,5053,5048
"Polk County, Tennessee",16759,16918,16832
"Putnam County, Tennessee",77299,78631,80245
"Rhea County, Tennessee",32671,32911,33167
"Roane County, Tennessee",53020,53258,53382
"Robertson County, Tennessee",70328,71179,71813
"Rutherford County, Tennessee",316531,324647,332285
"Scott County, Tennessee",21964,22028,22068
"Sequatchie County, Tennessee",14767,14891,15026
"Sevier County, Tennessee",97307,97895,98250
"Shelby County, Tennessee",935251,936365,937166
"Smith County, Tennessee",19732,19979,20157
"Stewart County, Tennessee",13422,13619,13715
"Sullivan County, Tennessee",156924,157599,158348
"Sumner County, Tennessee",183756,187490,191283
"Tipton County, Tennessee",61305,61576,61599
"Trousdale County, Tennessee",10831,11033,11284
"Unicoi County, Tennessee",17796,17822,17883
"Union County, Tennessee",19399,19689,19972
"Van Buren County, Tennessee",5747,5763,5872
"Warren County, Tennessee",40717,40826,41277
"Washington County, Tennessee",127603,128661,129375
"Wayne County, Tennessee",16641,16635,16673
"Weakley County, Tennessee",33325,33413,33328
"White County, Tennessee",26764,27086,27345
"Williamson County, Tennessee",226048,231978,238412
"Wilson County, Tennessee",136691,140954,144657
"Anderson County, Texas",58175,57974,57735
"Andrews County, Texas",17603,18011,18705
"Angelina County, Texas",87572,86810,86715
"Aransas County, Texas",25392,23446,23510
"Archer County, Texas",8783,8700,8553
"Armstrong County, Texas",1867,1879,1887
"Atascosa County, Texas",49083,50322,51153
"Austin County, Texas",29722,29965,30032
"Bailey County, Texas",7066,7015,7000
"Bandera County, Texas",22327,22792,23112
"Bastrop County, Texas",84585,86595,88723
"Baylor County, Texas",3555,3573,3509
"Bee County, Texas",32592,32467,32565
"Bell County, Texas",347377,355397,362924
"Bexar County, Texas",1956988,1981187,2003554
"Blanco County, Texas",11481,11648,11931
"Borden County, Texas",670,647,654
"Bosque County, Texas",18295,18629,18685
"Bowie County, Texas",93458,93688,93245
"Brazoria County, Texas",361853,368887,374264
"Brazos County, Texas",223917,225781,229211
"Brewster County, Texas",9325,9272,9203
"Briscoe County, Texas",1514,1512,1546
"Brooks County, Texas",7132,7099,7093
"Brown County, Texas",37815,37820,37864
"Burleson County, Texas",18053,18335,18443
"Burnet County, Texas",46600,47344,48155
"Caldwell County, Texas",42328,43161,43664
"Calhoun County, Texas",21712,21504,21290
"Callahan County, Texas",13968,13990,13943
"Cameron County, Texas",422227,422139,423163
"Camp County, Texas",12845,12983,13094
"Carson County, Texas",6005,6007,5926
"Cass County, Texas",29966,30106,30026
"Castro County, Texas",7696,7588,7530
"Chambers County, Texas",41269,42227,43837
"Cherokee County, Texas",52116,52381,52646
"Childress County, Texas",7269,7315,7306
"Clay County, Texas",10484,10448,10471
"Cochran County, Texas",2853,2831,2853
"Coke County, Texas",3285,3355,3387
"Coleman County, Texas",8399,8367,8175
"Collin County, Texas",971864,1004307,1034730
"Collingsworth County, Texas",2964,2942,2920
"Colorado County, Texas",21291,21305,21493
"Comal County, Texas",140721,148141,156209
"Comanche County, Texas",13533,13540,13635
"Concho County, Texas",2707,2683,2726
"Cooke County, Texas",39932,40504,41257
"Coryell County, Texas",74760,74741,75951
"Cottle County, Texas",1375,1382,1398
"Crane County, Texas",4685,4755,4797
"Crockett County, Texas",3535,3439,3464
"Crosby County, Texas",5849,5764,5737
"Culberson County, Texas",2230,2194,2171
"Dallam County, Texas",7272,7303,7287
"Dallas County, Texas",2620154,2629350,2635516
"Dawson County, Texas",12744,12605,12728
"Deaf Smith County, Texas",18753,18711,18546
"Delta County, Texas",5276,5332,5331
"Denton County, Texas",835364,858741,887207
"DeWitt County, Texas",20180,20106,20160
"Dickens County, Texas",2190,2218,2211
"Dimmit County, Texas",10282,10195,10124
"Donley County, Texas",3340,3315,3278
"Duval County, Texas",11270,11147,11157
"Eastland County, Texas",18294,18319,18360
"Ector County, Texas",156951,161960,166223
"Edwards County, Texas",1929,1908,1932
"Ellis County, Texas",173405,179006,184826
