Geographic Area,2017,2018,2019
"Evans County, Georgia",10741,10702,10654
"Fannin County, Georgia",25332,25981,26188
"Fayette County, Georgia",112553,113181,114421
"Floyd County, Georgia",97500,97964,98498
"Forsyth County, Georgia",228940,236993,244252
"Franklin County, Georgia",22864,23034,23349
"Fulton County, Georgia",1038938,1050131,1063937
"Gilmer County, Georgia",30443,30835,31369
"Glascock County, Georgia",3032,2977,2971
"Glynn County, Georgia",84675,84975,85292
"Gordon County, Georgia",57164,57628,57963
"Grady County, Georgia",24773,24774,24633
"Greene County, Georgia",17203,17733,18324
"Gwinnett County, Georgia",918186,927337,936250
"Habersham County, Georgia",44535,45373,45328
"Hall County, Georgia",198953,201538,204441
"Hancock County, Georgia",8539,8368,8457
"Haralson County, Georgia",29248,29561,29792
"Harris County, Georgia",33943,34560,35236
"Hart County, Georgia",25710,26071,26205
"Heard County, Georgia",11751,11871,11923
"Henry County, Georgia",225182,229728,234561
"Houston County, Georgia",153202,155523,157863
"Irwin County, Georgia",9352,9396,9416
"Jackson County, Georgia",67644,70325,72977
"Jasper County, Georgia",13882,14029,14219
"Jeff Davis County, Georgia",15039,15048,15115
"Jefferson County, Georgia",15630,15424,15362
"Jenkins County, Georgia",8813,8765,8676
"Johnson County, Georgia",9737,9706,9643
"Jones County, Georgia",28466,28680,28735
"Lamar County, Georgia",18600,18961,19077
"Lanier County, Georgia",10425,10355,10423
"Laurens County, Georgia",47376,47336,47546
"Lee County, Georgia",29410,29751,29992
"Liberty County, Georgia",61619,60606,61435
"Lincoln County, Georgia",7856,7925,7921
"Long County, Georgia",18780,19091,19559
"Lowndes County, Georgia",115404,116309,117406
"Lumpkin County, Georgia",32801,32899,33610
"McDuffie County, Georgia",21511,21532,21312
"McIntosh County, Georgia",14080,14322,14378
"Macon County, Georgia",13254,13160,12947
"Madison County, Georgia",29295,29642,29880
"Marion County, Georgia",8403,8373,8359
"Meriwether County, Georgia",21021,21094,21167
"Miller County, Georgia",5813,5684,5718
"Mitchell County, Georgia",22317,22135,21863
"Monroe County, Georgia",27163,27503,27578
"Montgomery County, Georgia",9024,9168,9172
"Morgan County, Georgia",18373,18831,19276
"Murray County, Georgia",39803,39943,40096
"Muscogee County, Georgia",193836,194169,195769
"Newton County, Georgia",107846,109421,111744
"Oconee County, Georgia",38122,39478,40280
"Oglethorpe County, Georgia",14874,15080,15259
"Paulding County, Georgia",159509,164053,168667
"Peach County, Georgia",26961,27363,27546
"Pickens County, Georgia",31541,32014,32591
"Pierce County, Georgia",19197,19388,19465
