,EVENT_ID,STATE
1678,819085,ATLANTIC SOUTH
1679,818538,PENNSYLVANIA
1680,818541,PENNSYLVANIA
1682,847669,VIRGINIA
1683,847670,VIRGINIA
1684,847671,VIRGINIA
1685,847672,VIRGINIA
1686,837351,ATLANTIC SOUTH
1687,837352,FLORIDA
1688,837353,GEORGIA
1690,818399,MONTANA
1691,818400,MONTANA
1692,818402,MONTANA
1693,818404,MONTANA
1694,818405,Montana
1697,807764,Delaware
1698,807765,DELAWARE
1699,807766,DELAWARE
1700,807767,MARYLAND
1701,819087,ATLANTIC SOUTH
1714,847673,VIRGINIA
1715,847674,NORTH CAROLINA
1716,847675,NORTH CAROLINA
1717,847682,ATLANTIC NORTH
1718,827029,FLORIDA
1719,827030,FLORIDA
1720,827031,FLORIDA
1721,827033,ATLANTIC SOUTH
1722,827034,ATLANTIC SOUTH
1723,836822,FLORIDA
1724,836823,FLORIDA
1725,836824,FLORIDA
1726,826776,Florida
1727,826777,FLORIDA
1728,826778,FLORIDA
1729,826779,FLORIDA
1731,837339,FLORIDA
1732,837340,FLORIDA
1733,837341,FLORIDA
1734,837343,FLORIDA
1735,819626,MONTANA
1736,819627,MONTANA
1737,819628,MONTANA
1738,819876,MONTANA
1739,819953,WYOMING
1740,845654,KANSAS
1741,845655,KANSAS
1742,845656,KANSAS
1743,845657,KANSAS
1744,845658,KANSAS
1745,845959,KANSAS
1746,807754,PENNSYLVANIA
1749,818470,PENNSYLVANIA
1750,818471,PENNSYLVANIA
1751,836825,FLORIDA
1752,836826,FLORIDA
1753,836827,FLORIDA
1754,836828,FLORIDA
1755,836840,FLORIDA
1756,826785,FLORIDA
1757,819954,WYOMING
1758,821403,MONTANA
1759,821404,MONTANA
1760,821405,MONTANA
1761,821407,MONTANA
1766,812881,ALABAMA
1767,837344,FLORIDA
1768,837346,FLORIDA
1769,837347,FLORIDA
1770,837348,FLORIDA
1772,807760,DELAWARE
1773,807762,DELAWARE
1774,807761,DELAWARE
1775,807763,DELAWARE
1776,835164,TEXAS
1777,835165,TEXAS
1779,807788,NEW JERSEY
1780,807790,NEW JERSEY
1781,807789,NEW JERSEY
