,EVENT_ID,COUNTY
1399,836766,DEUEL
1400,836767,BROWN
1401,836768,HYDE
1402,836769,HYDE
1403,836771,BROWN
1404,836772,GRANT
1405,836773,HAND
1406,836774,BROWN
1407,839473,MCPHERSON
1408,839474,MCPHERSON
1409,818193,VINTON
1410,812964,KANAWHA
1411,817905,LOGAN
1418,826794,HAMLIN
1419,826861,CODINGTON
1420,818194,VINTON
1421,826734,DUVAL
1422,826735,DUVAL
1423,826736,DUVAL
1424,826737,Duval
1425,826762,ST. JOHNS
1426,845480,Newport News City
1427,847459,Lancaster
1428,847471,Accomack
1429,847518,WICOMICO
1430,847524,WORCESTER
1431,847530,DORCHESTER
1432,847569,Mathews
1433,847583,Poquoson City
1434,847590,Poquoson City
1435,817884,WOOD
1436,817886,MASON
1437,817888,WOOD
1441,817906,WYOMING
1442,817907,WEBSTER
1445,847606,York
1446,847607,Worcester
1447,847608,AMELIA
1448,847609,CHESTERFIELD
1449,847655,PETERSBURG (C)
1450,847656,PRINCE GEORGE
1451,847657,FLUVANNA
1452,847658,MECKLENBURG
1453,847660,BRUNSWICK
1454,847661,SOUTHAMPTON
1455,847662,ISLE OF WIGHT
1456,847663,ISLE OF WIGHT
1457,847664,NOTTOWAY
1458,847665,SUFFOLK (C)
1459,847666,SUFFOLK (C)
1460,812957,KANAWHA
1461,812960,KANAWHA
1462,817889,WIRT
1463,817892,WIRT
1464,817893,RITCHIE
1465,817894,RITCHIE
1468,838257,SHERMAN
1470,838260,SHERMAN
1471,813595,KANAWHA
1472,817895,GILMER
1475,846571,HYDE
1476,817896,GILMER
1477,817897,GILMER
1478,817899,MASON
1479,817900,JACKSON
1480,817901,JACKSON
1482,817880,WOOD
1493,853218,NEWTON
1494,834953,KENDALL
1495,817903,ROANE
1496,817963,MASON
1497,834957,BEXAR
1498,834962,VAL VERDE
1499,834965,BEXAR
1500,834966,BEXAR
1501,834968,WILLIAMSON
1502,834970,KERR
1503,817968,WOOD
1504,818205,KANAWHA
1510,838272,CHEYENNE
1523,818289,Volusia
1524,812965,KANAWHA
1526,843721,ST. LOUIS (C)
1527,843722,ST. LOUIS
1528,843724,WASHINGTON
1529,843726,MARION
1534,847601,Northampton
1535,843739,ST. CLAIR
1536,843750,ST. CHARLES
1537,843761,ST. CHARLES
1538,843769,ST. CHARLES
1539,843810,ADAMS
1540,849663,MARION
1541,817881,WOOD
1542,817882,WOOD
1543,817883,WOOD
1558,847594,Northampton
1559,813614,BOONE
1560,813759,FAYETTE
1561,814059,KANAWHA
1563,817890,WOOD
1565,818527,DAUPHIN
1566,818528,DAUPHIN
1567,825345,FRANKLIN
1568,825346,SULLIVAN
1569,818510,SNYDER
1570,818534,SCHUYLKILL
1571,807768,KENT
1572,807769,SUSSEX
1573,812884,MORGAN
1574,812887,MORGAN
1577,812890,MORGAN
1581,843685,MONTGOMERY
1584,844336,BARTON
1585,844337,BARTON
1586,844338,SEDGWICK
1587,845650,BUTLER
1588,845653,BUTLER
1589,835166,VAL VERDE
1590,835167,EDWARDS
1591,807796,OCEAN
1592,807795,MONMOUTH
1593,807797,MONMOUTH
1594,811689,NEW CASTLE
1595,811690,CHESTER
1596,811691,CHESTER
1597,836882,CLAY
1598,836886,UNION
1599,836888,SUWANNEE
1600,826763,COLUMBIA
1601,826764,ALACHUA
1602,826765,HAMILTON
1604,819084,Brevard
1606,825297,YORK
1608,812899,MADISON
1609,812900,MADISON
1610,812901,MADISON
1611,812902,MADISON
1612,843684,BUTLER
1613,811686,NEW CASTLE
1614,835170,UVALDE
1615,835171,UVALDE
1616,811687,NEW CASTLE
1617,811688,KENT
1618,826766,GILCHRIST
1619,826767,BAKER
1620,826768,HAMILTON
1621,806182,MORGAN
1624,819068,Brevard
1626,818530,ADAMS
1628,818542,CAMBRIA
1629,818545,LANCASTER
1630,818546,CLEARFIELD
1635,811692,BERKS
1636,811693,DELAWARE
1637,811694,MONTGOMERY
1638,811695,MONTGOMERY
1640,826771,COLUMBIA
1641,826770,ALACHUA
1642,826772,COLUMBIA
1643,826773,GILCHRIST
1644,826774,GILCHRIST
1645,826775,MARION
1647,836893,COLUMBIA
1648,837331,CLAY
1649,837333,CLAY
1650,837334,CLAY
1651,837335,CLAY
1652,837336,CLAY
1653,837337,CLAY
1654,837338,CLAY
1655,835168,KINNEY
1658,818532,LEBANON
1659,818536,PERRY
1660,818548,CLEARFIELD
1661,818550,LANCASTER
1662,819089,Brevard
1663,811699,MONTGOMERY
1664,811700,PHILADELPHIA
1665,811701,PHILADELPHIA
1669,818469,FRANKLIN
